
Thu Jan  1 00:02:25 1970

Flight Log #16
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.000000,0.000000,0.000000,0.000000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
DATA[0, 0, [0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000],[0.250000,0.250000,0.250000,0.250000]]
